,label,score
666,엄격하지 않게,-2
667,엄격하지 않은,-2
668,엄격하지 않고,-2
669,엄격하지 않으며,-2
670,엄격안한,-2
671,이러하게,1
672,이러한,1
673,이러하다,2
674,이러하고,2
675,이러하며,2
676,이러하지 않다,-2
677,이러하지 않게,-2
678,이러하지 않은,-2
679,이러하지 않고,-2
680,이러하지 않으며,-2
681,이러안한,-2
682,번잡하게,1
683,번잡한,1
684,번잡하다,2
685,번잡하고,2
686,번잡하며,2
687,번잡하지 않다,-2
688,번잡하지 않게,-2
689,번잡하지 않은,-2
690,번잡하지 않고,-2
691,번잡하지 않으며,-2
692,번잡안한,-2
693,섬세하게,1
694,섬세한,1
695,섬세하다,2
696,섬세하고,2
697,섬세하며,2
698,섬세하지 않다,-2
699,섬세하지 않게,-2
700,섬세하지 않은,-2
701,섬세하지 않고,-2
702,섬세하지 않으며,-2
703,섬세안한,-2
704,대단하게,1
705,대단한,1
706,대단하다,2
707,대단하고,2
708,대단하며,2
709,대단하지 않다,-2
710,대단하지 않게,-2
711,대단하지 않은,-2
712,대단하지 않고,-2
713,대단하지 않으며,-2
714,대단안한,-2
715,능숙하게,1
716,능숙한,1
717,능숙하다,2
718,능숙하고,2
719,능숙하며,2
720,능숙하지 않다,-2
721,능숙하지 않게,-2
722,능숙하지 않은,-2
723,능숙하지 않고,-2
724,능숙하지 않으며,-2
725,능숙안한,-2
726,신속하게,1
727,신속한,1
728,신속하다,2
729,신속하고,2
730,신속하며,2
731,신속하지 않다,-2
732,신속하지 않게,-2
733,신속하지 않은,-2
734,신속하지 않고,-2
735,신속하지 않으며,-2
736,신속안한,-2
737,예민하게,1
738,예민한,1
739,예민하다,2
740,예민하고,2
741,예민하며,2
742,예민하지 않다,-2
743,예민하지 않게,-2
744,예민하지 않은,-2
745,예민하지 않고,-2
746,예민하지 않으며,-2
747,예민안한,-2
748,달콤하게,1
749,달콤한,1
750,달콤하다,2
751,달콤하고,2
752,달콤하며,2
753,달콤하지 않다,-2
754,달콤하지 않게,-2
755,달콤하지 않은,-2
756,달콤하지 않고,-2
757,달콤하지 않으며,-2
758,달콤안한,-2
759,진지하게,1
760,진지한,1
761,진지하다,2
762,진지하고,2
763,진지하며,2
764,진지하지 않다,-2
765,진지하지 않게,-2
766,진지하지 않은,-2
767,진지하지 않고,-2
768,진지하지 않으며,-2
769,진지안한,-2
770,우아하게,1
771,우아한,1
772,우아하다,2
773,우아하고,2
774,우아하며,2
775,우아하지 않다,-2
776,우아하지 않게,-2
777,우아하지 않은,-2
778,우아하지 않고,-2
779,우아하지 않으며,-2
780,우아안한,-2
781,지저분하게,1
782,지저분한,1
783,지저분하다,2
784,지저분하고,2
785,지저분하며,2
786,지저분하지 않다,-2
787,지저분하지 않게,-2
788,지저분하지 않은,-2
789,지저분하지 않고,-2
790,지저분하지 않으며,-2
791,지저분안한,-2
792,화려하게,1
793,화려한,1
794,화려하다,2
795,화려하고,2
796,화려하며,2
797,화려하지 않다,-2
798,화려하지 않게,-2
799,화려하지 않은,-2
800,화려하지 않고,-2
801,화려하지 않으며,-2
802,화려안한,-2
803,답답하게,1
804,답답한,1
805,답답하다,2
806,답답하고,2
807,답답하며,2
808,답답하지 않다,-2
809,답답하지 않게,-2
810,답답하지 않은,-2
811,답답하지 않고,-2
812,답답하지 않으며,-2
813,답답안한,-2
814,즐비하게,1
815,즐비한,1
816,즐비하다,2
817,즐비하고,2
818,즐비하며,2
819,즐비하지 않다,-2
820,즐비하지 않게,-2
821,즐비하지 않은,-2
822,즐비하지 않고,-2
823,즐비하지 않으며,-2
824,즐비안한,-2
825,수월하게,1
826,수월한,1
827,수월하다,2
828,수월하고,2
829,수월하며,2
830,수월하지 않다,-2
831,수월하지 않게,-2
832,수월하지 않은,-2
833,수월하지 않고,-2
834,수월하지 않으며,-2
835,수월안한,-2
836,특별하게,1
837,특별한,1
838,특별하다,2
839,특별하고,2
840,특별하며,2
841,특별하지 않다,-2
842,특별하지 않게,-2
843,특별하지 않은,-2
844,특별하지 않고,-2
845,특별하지 않으며,-2
846,특별안한,-2
847,끔찍하게,1
848,끔찍한,1
849,끔찍하다,2
850,끔찍하고,2
851,끔찍하며,2
852,끔찍하지 않다,-2
853,끔찍하지 않게,-2
854,끔찍하지 않은,-2
855,끔찍하지 않고,-2
856,끔찍하지 않으며,-2
857,끔찍안한,-2
858,상쾌하게,1
859,상쾌한,1
860,상쾌하다,2
861,상쾌하고,2
862,상쾌하며,2
863,상쾌하지 않다,-2
864,상쾌하지 않게,-2
865,상쾌하지 않은,-2
866,상쾌하지 않고,-2
867,상쾌하지 않으며,-2
868,상쾌안한,-2
869,소박하게,1
870,소박한,1
871,소박하다,2
872,소박하고,2
873,소박하며,2
874,소박하지 않다,-2
875,소박하지 않게,-2
876,소박하지 않은,-2
877,소박하지 않고,-2
878,소박하지 않으며,-2
879,소박안한,-2
880,강하게,1
881,강한,1
882,강하다,2
883,강하고,2
884,강하며,2
885,강하지 않다,-2
886,강하지 않게,-2
887,강하지 않은,-2
888,강하지 않고,-2
889,강하지 않으며,-2
890,강안한,-2
891,어색하게,1
892,어색한,1
893,어색하다,2
894,어색하고,2
895,어색하며,2
896,어색하지 않다,-2
897,어색하지 않게,-2
898,어색하지 않은,-2
899,어색하지 않고,-2
900,어색하지 않으며,-2
901,어색안한,-2
902,온화하게,1
903,온화한,1
904,온화하다,2
905,온화하고,2
906,온화하며,2
907,온화하지 않다,-2
908,온화하지 않게,-2
909,온화하지 않은,-2
910,온화하지 않고,-2
911,온화하지 않으며,-2
912,온화안한,-2
913,유창하게,1
914,유창한,1
915,유창하다,2
916,유창하고,2
917,유창하며,2
918,유창하지 않다,-2
919,유창하지 않게,-2
920,유창하지 않은,-2
921,유창하지 않고,-2
922,유창하지 않으며,-2
923,유창안한,-2
924,지루하게,1
925,지루한,1
926,지루하다,2
927,지루하고,2
928,지루하며,2
929,지루하지 않다,-2
930,지루하지 않게,-2
931,지루하지 않은,-2
932,지루하지 않고,-2
933,지루하지 않으며,-2
934,지루안한,-2
935,번거하게,1
936,번거한,1
937,번거하다,2
938,번거하고,2
939,번거하며,2
940,번거하지 않다,-2
941,번거하지 않게,-2
942,번거하지 않은,-2
943,번거하지 않고,-2
944,번거하지 않으며,-2
945,번거안한,-2
946,확고하게,1
947,확고한,1
948,확고하다,2
949,확고하고,2
950,확고하며,2
951,확고하지 않다,-2
952,확고하지 않게,-2
953,확고하지 않은,-2
954,확고하지 않고,-2
955,확고하지 않으며,-2
956,확고안한,-2
957,독특하게,1
958,독특한,1
959,독특하다,2
960,독특하고,2
961,독특하며,2
962,독특하지 않다,-2
963,독특하지 않게,-2
964,독특하지 않은,-2
965,독특하지 않고,-2
966,독특하지 않으며,-2
967,독특안한,-2
968,견고하게,1
969,견고한,1
970,견고하다,2
971,견고하고,2
972,견고하며,2
973,견고하지 않다,-2
974,견고하지 않게,-2
975,견고하지 않은,-2
976,견고하지 않고,-2
977,견고하지 않으며,-2
978,견고안한,-2
979,어수선하게,1
980,어수선한,1
981,어수선하다,2
982,어수선하고,2
983,어수선하며,2
984,어수선하지 않다,-2
985,어수선하지 않게,-2
986,어수선하지 않은,-2
987,어수선하지 않고,-2
988,어수선하지 않으며,-2
989,어수선안한,-2
990,정교하게,1
991,정교한,1
992,정교하다,2
993,정교하고,2
994,정교하며,2
995,정교하지 않다,-2
996,정교하지 않게,-2
997,정교하지 않은,-2
998,정교하지 않고,-2
999,정교하지 않으며,-2
1000,정교안한,-2
1001,소중하게,1
1002,소중한,1
1003,소중하다,2
1004,소중하고,2
1005,소중하며,2
1006,소중하지 않다,-2
1007,소중하지 않게,-2
1008,소중하지 않은,-2
1009,소중하지 않고,-2
1010,소중하지 않으며,-2
1011,소중안한,-2
1012,아담하게,1
1013,아담한,1
1014,아담하다,2
1015,아담하고,2
1016,아담하며,2
1017,아담하지 않다,-2
1018,아담하지 않게,-2
1019,아담하지 않은,-2
1020,아담하지 않고,-2
1021,아담하지 않으며,-2
1022,아담안한,-2
1023,솔직하게,1
1024,솔직한,1
1025,솔직하다,2
1026,솔직하고,2
1027,솔직하며,2
1028,솔직하지 않다,-2
1029,솔직하지 않게,-2
1030,솔직하지 않은,-2
1031,솔직하지 않고,-2
1032,솔직하지 않으며,-2
1033,솔직안한,-2
1034,심각하게,1
1035,심각한,1
1036,심각하다,2
1037,심각하고,2
1038,심각하며,2
1039,심각하지 않다,-2
1040,심각하지 않게,-2
1041,심각하지 않은,-2
1042,심각하지 않고,-2
1043,심각하지 않으며,-2
1044,심각안한,-2
1045,간결하게,1
1046,간결한,1
1047,간결하다,2
1048,간결하고,2
1049,간결하며,2
1050,간결하지 않다,-2
1051,간결하지 않게,-2
1052,간결하지 않은,-2
1053,간결하지 않고,-2
1054,간결하지 않으며,-2
1055,간결안한,-2
1056,웬만하게,1
1057,웬만한,1
1058,웬만하다,2
1059,웬만하고,2
1060,웬만하며,2
1061,웬만하지 않다,-2
1062,웬만하지 않게,-2
1063,웬만하지 않은,-2
1064,웬만하지 않고,-2
1065,웬만하지 않으며,-2
1066,웬만안한,-2
1067,평평하게,1
1068,평평한,1
1069,평평하다,2
1070,평평하고,2
1071,평평하며,2
1072,평평하지 않다,-2
1073,평평하지 않게,-2
1074,평평하지 않은,-2
1075,평평하지 않고,-2
1076,평평하지 않으며,-2
1077,평평안한,-2
1078,심하게,1
1079,심한,1
1080,심하다,2
1081,심하고,2
1082,심하며,2
1083,심하지 않다,-2
1084,심하지 않게,-2
1085,심하지 않은,-2
1086,심하지 않고,-2
1087,심하지 않으며,-2
1088,심안한,-2
1089,철저하게,1
1090,철저한,1
1091,철저하다,2
1092,철저하고,2
1093,철저하며,2
1094,철저하지 않다,-2
1095,철저하지 않게,-2
1096,철저하지 않은,-2
1097,철저하지 않고,-2
1098,철저하지 않으며,-2
1099,철저안한,-2
1100,흔하게,1
1101,흔한,1
1102,흔하다,2
1103,흔하고,2
1104,흔하며,2
1105,흔하지 않다,-2
1106,흔하지 않게,-2
1107,흔하지 않은,-2
1108,흔하지 않고,-2
1109,흔하지 않으며,-2
1110,흔안한,-2
1111,퀴퀴하게,1
1112,퀴퀴한,1
1113,퀴퀴하다,2
1114,퀴퀴하고,2
1115,퀴퀴하며,2
1116,퀴퀴하지 않다,-2
1117,퀴퀴하지 않게,-2
1118,퀴퀴하지 않은,-2
1119,퀴퀴하지 않고,-2
1120,퀴퀴하지 않으며,-2
1121,퀴퀴안한,-2
1122,분주하게,1
1123,분주한,1
1124,분주하다,2
1125,분주하고,2
1126,분주하며,2
1127,분주하지 않다,-2
1128,분주하지 않게,-2
1129,분주하지 않은,-2
1130,분주하지 않고,-2
1131,분주하지 않으며,-2
1132,분주안한,-2
1133,주요하게,1
1134,주요한,1
1135,주요하다,2
1136,주요하고,2
1137,주요하며,2
1138,주요하지 않다,-2
1139,주요하지 않게,-2
1140,주요하지 않은,-2
1141,주요하지 않고,-2
1142,주요하지 않으며,-2
1143,주요안한,-2
1144,환하게,1
1145,환한,1
1146,환하다,2
1147,환하고,2
1148,환하며,2
1149,환하지 않다,-2
1150,환하지 않게,-2
1151,환하지 않은,-2
1152,환하지 않고,-2
1153,환하지 않으며,-2
1154,환안한,-2
1155,가능하게,1
1156,가능한,1
1157,가능하다,2
1158,가능하고,2
1159,가능하며,2
1160,가능하지 않다,-2
1161,가능하지 않게,-2
1162,가능하지 않은,-2
1163,가능하지 않고,-2
1164,가능하지 않으며,-2
1165,가능안한,-2
1166,비롯하게,1
1167,비롯한,1
1168,비롯하다,2
1169,비롯하고,2
1170,비롯하며,2
1171,비롯하지 않다,-2
1172,비롯하지 않게,-2
1173,비롯하지 않은,-2
1174,비롯하지 않고,-2
1175,비롯하지 않으며,-2
1176,비롯안한,-2
1177,뻣뻣하게,1
1178,뻣뻣한,1
1179,뻣뻣하다,2
1180,뻣뻣하고,2
1181,뻣뻣하며,2
1182,뻣뻣하지 않다,-2
1183,뻣뻣하지 않게,-2
1184,뻣뻣하지 않은,-2
1185,뻣뻣하지 않고,-2
1186,뻣뻣하지 않으며,-2
1187,뻣뻣안한,-2
1188,그러하게,1
1189,그러한,1
1190,그러하다,2
1191,그러하고,2
1192,그러하며,2
1193,그러하지 않다,-2
1194,그러하지 않게,-2
1195,그러하지 않은,-2
1196,그러하지 않고,-2
1197,그러하지 않으며,-2
1198,그러안한,-2
1199,절묘하게,1
1200,절묘한,1
1201,절묘하다,2
1202,절묘하고,2
1203,절묘하며,2
1204,절묘하지 않다,-2
1205,절묘하지 않게,-2
1206,절묘하지 않은,-2
1207,절묘하지 않고,-2
